iter	Passed	Remaining
445	1152	4015
446	1155	4013
447	1157	4010
448	1160	4008
449	1162	4004
450	1165	4002
451	1168	4001
452	1170	3998
453	1173	3996
454	1176	3994
455	1178	3992
456	1181	3989
457	1183	3985
458	1186	3983
459	1188	3979
460	1191	3976
461	1193	3973
462	1196	3971
463	1199	3969
464	1201	3967
465	1204	3964
466	1207	3962
467	1209	3959
468	1212	3956
469	1214	3954
470	1217	3951
471	1219	3948
472	1222	3945
473	1224	3942
474	1227	3940
475	1230	3938
476	1232	3935
477	1234	3932
478	1237	3929
479	1240	3926
480	1242	3923
481	1244	3920
482	1247	3918
483	1249	3914
484	1252	3911
485	1254	3907
486	1256	3904
487	1258	3900
488	1261	3896
489	1263	3892
490	1265	3888
491	1267	3885
492	1269	3880
493	1271	3877
494	1273	3873
495	1276	3869
496	1278	3866
497	1280	3863
498	1283	3860
499	1285	3856
500	1287	3853
501	1290	3849
502	1292	3846
503	1294	3843
504	1297	3839
505	1299	3836
506	1301	3832
507	1303	3829
508	1305	3825
509	1308	3822
510	1310	3817
511	1312	3814
512	1314	3810
513	1316	3806
514	1318	3803
515	1320	3799
516	1323	3796
517	1326	3793
518	1328	3790
519	1330	3786
520	1332	3782
521	1334	3778
522	1336	3775
523	1339	3772
524	1341	3768
525	1344	3766
526	1346	3764
527	1349	3762
528	1351	3759
529	1354	3756
530	1356	3753
531	1359	3751
532	1361	3748
533	1364	3745
534	1366	3742
535	1369	3740
536	1371	3737
537	1374	3734
538	1376	3730
539	1378	3728
540	1381	3725
541	1383	3721
542	1385	3718
543	1388	3715
544	1390	3712
545	1393	3709
546	1395	3706
547	1397	3704
548	1400	3700
549	1402	3697
550	1404	3694
551	1407	3691
552	1409	3688
553	1411	3685
554	1414	3681
555	1416	3678
556	1418	3675
557	1421	3672
558	1423	3669
559	1425	3666
560	1428	3663
561	1430	3660
562	1433	3658
563	1435	3655
564	1437	3652
565	1440	3648
566	1442	3645
567	1444	3641
568	1446	3638
569	1449	3635
570	1451	3632
571	1453	3628
572	1455	3624
573	1457	3621
574	1459	3617
575	1461	3614
576	1464	3610
577	1466	3607
578	1468	3603
579	1470	3600
580	1472	3596
581	1474	3592
582	1476	3589
583	1478	3585
584	1480	3582
585	1483	3579
586	1485	3574
587	1487	3571
588	1489	3567
589	1491	3564
590	1493	3561
591	1495	3557
592	1498	3554
593	1500	3551
594	1502	3548
595	1504	3544
596	1506	3541
597	1509	3538
598	1511	3534
599	1513	3531
600	1515	3527
601	1517	3524
602	1519	3521
603	1522	3517
604	1524	3514
605	1526	3511
606	1528	3508
607	1530	3504
608	1533	3502
609	1535	3499
610	1537	3496
611	1540	3493
612	1542	3490
613	1545	3487
614	1547	3484
615	1549	3481
616	1551	3478
617	1554	3476
618	1556	3473
619	1558	3469
620	1560	3466
621	1563	3463
622	1565	3460
623	1567	3457
624	1570	3454
625	1572	3451
626	1575	3449
627	1577	3446
628	1579	3443
629	1582	3440
630	1584	3437
631	1587	3435
632	1589	3432
633	1591	3429
634	1594	3427
635	1596	3423
636	1598	3421
637	1601	3418
638	1603	3415
639	1605	3412
640	1608	3409
641	1610	3406
642	1612	3403
643	1615	3400
644	1617	3398
645	1619	3394
646	1622	3392
647	1624	3389
648	1626	3386
649	1629	3383
650	1631	3381
651	1633	3378
652	1636	3375
653	1638	3371
654	1640	3369
655	1642	3365
656	1645	3362
657	1647	3359
658	1649	3356
659	1651	3353
660	1653	3350
661	1655	3346
662	1657	3343
663	1660	3340
664	1662	3337
665	1664	3334
666	1666	3331
667	1668	3327
668	1671	3324
669	1673	3321
670	1675	3318
671	1677	3315
672	1679	3312
673	1682	3309
674	1684	3305
675	1686	3302
676	1688	3299
677	1690	3296
678	1692	3292
679	1694	3289
680	1696	3285
681	1698	3282
682	1700	3279
683	1702	3276
684	1704	3272
685	1706	3269
686	1709	3266
687	1711	3263
688	1713	3260
689	1715	3257
690	1717	3254
691	1719	3250
692	1721	3247
693	1724	3244
694	1726	3241
